zip,city,state,county,payout
72410,Alicia,AR,Lawrence County,32.9
72005,Amagon,AR,Jackson County,32.9
72310,Armorel,AR,Mississippi County,32.9
72311,Aubrey,AR,Lee County,32.9
72006,Augusta,AR,Woodruff County,32.9
72010,Bald Knob,AR,White County,32.9
72312,Barton,AR,Phillips County,32.9
72313,Bassett,AR,Mississippi County,32.9
72411,Bay,AR,Craighead County,32.9
72412,Beech Grove,AR,Greene County,32.9
72014,Beedeville,AR,Jackson County,32.9
72017,Biscoe,AR,Prairie County,32.9
72414,Black Oak,AR,Craighead County,32.9
72315,Blytheville,AR,Mississippi County,32.9
72316,Blytheville,AR,Mississippi County,32.9
72416,Bono,AR,Craighead County,32.9
72020,Bradford,AR,White County,32.9
72320,Brickeys,AR,Lee County,32.9
72021,Brinkley,AR,Monroe County,32.9
72417,Brookland,AR,Craighead County,32.9
72321,Burdette,AR,Mississippi County,32.9
72322,Caldwell,AR,St. Francis County,32.9
72419,Caraway,AR,Craighead County,32.9
72421,Cash,AR,Craighead County,32.9
72026,Casscoe,AR,Arkansas County,32.9
72324,Cherry Valley,AR,Cross County,32.9
72029,Clarendon,AR,Monroe County,32.9
72325,Clarkedale,AR,Crittenden County,32.9
72326,Colt,AR,St. Francis County,32.9
72524,Cord,AR,Independence County,32.9
72036,Cotton Plant,AR,Woodruff County,32.9
72327,Crawfordsville,AR,Crittenden County,32.9
72038,Crocketts Bluff,AR,Arkansas County,32.9
72328,Crumrod,AR,Phillips County,32.9
72041,De Valls Bluff,AR,Prairie County,32.9
72425,Delaplaine,AR,Greene County,32.9
72426,Dell,AR,Mississippi County,32.9
72040,Des Arc,AR,Prairie County,32.9
72043,Diaz,AR,Jackson County,32.9
72329,Driver,AR,Mississippi County,32.9
72330,Dyess,AR,Mississippi County,32.9
72331,Earle,AR,Crittenden County,32.9
72332,Edmondson,AR,Crittenden County,32.9
72427,Egypt,AR,Craighead County,32.9
72333,Elaine,AR,Phillips County,32.9
72048,Ethel,AR,Arkansas County,32.9
72428,Etowah,AR,Mississippi County,32.9
72429,Fisher,AR,Poinsett County,32.9
72335,Forrest City,AR,St. Francis County,32.9
72336,Forrest City,AR,St. Francis County,32.9
72338,Frenchmans Bayou,AR,Mississippi County,32.9
72339,Gilmore,AR,Crittenden County,32.9
72340,Goodwin,AR,St. Francis County,32.9
72319,Gosnell,AR,Mississippi County,32.9
72430,Greenway,AR,Clay County,32.9
72059,Gregory,AR,Woodruff County,32.9
72060,Griffithville,AR,White County,32.9
72431,Grubbs,AR,Jackson County,32.9
72432,Harrisburg,AR,Poinsett County,32.9
72341,Haynes,AR,Lee County,32.9
72342,Helena,AR,Phillips County,32.9
72346,Heth,AR,St. Francis County,32.9
72347,Hickory Ridge,AR,Cross County,32.9
72069,Holly Grove,AR,Monroe County,32.9
72433,Hoxie,AR,Lawrence County,32.9
72348,Hughes,AR,St. Francis County,32.9
72074,Hunter,AR,Woodruff County,32.9
72075,Jacksonport,AR,Jackson County,32.9
72350,Joiner,AR,Mississippi County,32.9
72401,Jonesboro,AR,Craighead County,32.9
72402,Jonesboro,AR,Craighead County,32.9
72403,Jonesboro,AR,Craighead County,32.9
72404,Jonesboro,AR,Craighead County,32.9
72405,Jonesboro,AR,Craighead County,32.9
72351,Keiser,AR,Mississippi County,32.9
72435,Knobel,AR,Clay County,32.9
72352,La Grange,AR,Lee County,32.9
72436,Lafe,AR,Greene County,32.9
72437,Lake City,AR,Craighead County,32.9
72353,Lambrook,AR,Phillips County,32.9
72438,Leachville,AR,Mississippi County,32.9
72354,Lepanto,AR,Poinsett County,32.9
72355,Lexa,AR,Phillips County,32.9
72358,Luxora,AR,Mississippi County,32.9
72440,Lynn,AR,Lawrence County,32.9
72359,Madison,AR,St. Francis County,32.9
72553,Magness,AR,Independence County,32.9
72442,Manila,AR,Mississippi County,32.9
72360,Marianna,AR,Lee County,32.9
72364,Marion,AR,Crittenden County,32.9
72365,Marked Tree,AR,Poinsett County,32.9
72443,Marmaduke,AR,Greene County,32.9
72366,Marvell,AR,Phillips County,32.9
72101,Mc Crory,AR,Woodruff County,32.9
72367,Mellwood,AR,Phillips County,32.9
72445,Minturn,AR,Lawrence County,32.9
72447,Monette,AR,Craighead County,32.9
72108,Monroe,AR,Monroe County,32.9
72368,Moro,AR,Lee County,32.9
72562,Newark,AR,Independence County,32.9
72112,Newport,AR,Jackson County,32.9
72449,O Kean,AR,Randolph County,32.9
72564,Oil Trough,AR,Independence County,32.9
72369,Oneida,AR,Phillips County,32.9
72370,Osceola,AR,Mississippi County,32.9
72372,Palestine,AR,St. Francis County,32.9
72450,Paragould,AR,Greene County,32.9
72451,Paragould,AR,Greene County,32.9
72373,Parkin,AR,Cross County,32.9
72123,Patterson,AR,Woodruff County,32.9
72453,Peach Orchard,AR,Clay County,32.9
72454,Piggott,AR,Clay County,32.9
72456,Pollard,AR,Clay County,32.9
72374,Poplar Grove,AR,Phillips County,32.9
72457,Portia,AR,Lawrence County,32.9
72458,Powhatan,AR,Lawrence County,32.9
72376,Proctor,AR,Crittenden County,32.9
72461,Rector,AR,Clay County,32.9
72377,Rivervale,AR,Poinsett County,32.9
72134,Roe,AR,Monroe County,32.9
72139,Russell,AR,White County,32.9
72572,Saffell,AR,Lawrence County,32.9
72140,Saint Charles,AR,Arkansas County,32.9
72465,Sedgwick,AR,Lawrence County,32.9
72467,State University,AR,Craighead County,32.9
72471,Swifton,AR,Jackson County,32.9
72165,Thida,AR,Independence County,32.9
72472,Trumann,AR,Poinsett County,32.9
72473,Tuckerman,AR,Jackson County,32.9
72169,Tupelo,AR,Jackson County,32.9
72383,Turner,AR,Phillips County,32.9
72384,Turrell,AR,Crittenden County,32.9
72386,Tyronza,AR,Poinsett County,32.9
72170,Ulm,AR,Prairie County,32.9
72387,Vanndale,AR,Cross County,32.9
72389,Wabash,AR,Phillips County,32.9
72474,Walcott,AR,Greene County,32.9
72475,Waldenburg,AR,Poinsett County,32.9
72476,Walnut Ridge,AR,Lawrence County,32.9
72479,Weiner,AR,Poinsett County,32.9
72390,West Helena,AR,Phillips County,32.9
72301,West Memphis,AR,Crittenden County,32.9
72303,West Memphis,AR,Crittenden County,32.9
72178,West Point,AR,White County,32.9
72391,West Ridge,AR,Mississippi County,32.9
72392,Wheatley,AR,St. Francis County,32.9
72394,Widener,AR,St. Francis County,32.9
72395,Wilson,AR,Mississippi County,32.9
72396,Wynne,AR,Cross County,32.9
