zip,city,state,county,payout
99101,Addy,WA,Stevens County,189.5
98522,Adna,WA,Lewis County,193.0
99001,Airway Heights,WA,Spokane County,239.0
98601,Amboy,WA,Clark County,193.0
98221,Anacortes,WA,Skagit County,189.5
98811,Ardenvoir,WA,Chelan County,189.5
98603,Ariel,WA,Cowlitz County,189.5
98223,Arlington,WA,Snohomish County,193.0
98001,Auburn,WA,King County,193.0
98002,Auburn,WA,King County,193.0
98071,Auburn,WA,King County,193.0
98092,Auburn,WA,King County,193.0
98224,Baring,WA,King County,193.0
98604,Battle Ground,WA,Clark County,193.0
98004,Bellevue,WA,King County,193.0
98005,Bellevue,WA,King County,193.0
98006,Bellevue,WA,King County,193.0
98007,Bellevue,WA,King County,193.0
98008,Bellevue,WA,King County,193.0
98009,Bellevue,WA,King County,193.0
98015,Bellevue,WA,King County,193.0
99320,Benton City,WA,Benton County,189.5
98010,Black Diamond,WA,King County,193.0
98391,Bonney Lake,WA,Pierce County,213.0
98011,Bothell,WA,King County,193.0
98012,Bothell,WA,Snohomish County,193.0
98021,Bothell,WA,Snohomish County,193.0
98041,Bothell,WA,King County,193.0
98232,Bow,WA,Skagit County,189.5
98310,Bremerton,WA,Kitsap County,189.5
98311,Bremerton,WA,Kitsap County,189.5
98312,Bremerton,WA,Kitsap County,189.5
98314,Bremerton,WA,Kitsap County,189.5
98337,Bremerton,WA,Kitsap County,189.5
98813,Bridgeport,WA,Douglas County,189.5
98920,Brownstown,WA,Yakima County,189.5
98606,Brush Prairie,WA,Clark County,193.0
98321,Buckley,WA,Pierce County,213.0
98530,Bucoda,WA,Thurston County,189.5
98921,Buena,WA,Yakima County,189.5
98233,Burlington,WA,Skagit County,189.5
98013,Burton,WA,King County,193.0
98282,Camano Island,WA,Island County,189.5
98607,Camas,WA,Clark County,193.0
98430,Camp Murray,WA,Pierce County,213.0
98014,Carnation,WA,King County,193.0
98609,Carrolls,WA,Cowlitz County,189.5
98815,Cashmere,WA,Chelan County,189.5
98611,Castle Rock,WA,Cowlitz County,189.5
98531,Centralia,WA,Lewis County,193.0
99003,Chattaroy,WA,Spokane County,239.0
98532,Chehalis,WA,Lewis County,193.0
98816,Chelan,WA,Chelan County,189.5
98817,Chelan Falls,WA,Chelan County,189.5
99004,Cheney,WA,Spokane County,239.0
99109,Chewelah,WA,Stevens County,189.5
98533,Cinebar,WA,Lewis County,193.0
99110,Clayton,WA,Stevens County,189.5
98235,Clearlake,WA,Skagit County,189.5
98236,Clinton,WA,Island County,189.5
99005,Colbert,WA,Spokane County,239.0
99114,Colville,WA,Stevens County,189.5
98237,Concrete,WA,Skagit County,189.5
99326,Connell,WA,Franklin County,193.0
98238,Conway,WA,Skagit County,189.5
98616,Cougar,WA,Cowlitz County,189.5
98923,Cowiche,WA,Yakima County,189.5
98538,Curtis,WA,Lewis County,193.0
99119,Cusick,WA,Pend Oreille County,189.5
98241,Darrington,WA,Snohomish County,193.0
99122,Davenport,WA,Lincoln County,189.5
99006,Deer Park,WA,Spokane County,239.0
98539,Doty,WA,Lewis County,193.0
98821,Dryden,WA,Chelan County,189.5
98327,Dupont,WA,Pierce County,213.0
98019,Duvall,WA,King County,193.0
98540,East Olympia,WA,Thurston County,189.5
98802,East Wenatchee,WA,Douglas County,189.5
98328,Eatonville,WA,Pierce County,213.0
98020,Edmonds,WA,Snohomish County,193.0
98026,Edmonds,WA,Snohomish County,193.0
98330,Elbe,WA,Pierce County,213.0
99009,Elk,WA,Spokane County,239.0
99330,Eltopia,WA,Franklin County,193.0
98822,Entiat,WA,Chelan County,189.5
98022,Enumclaw,WA,King County,193.0
98542,Ethel,WA,Lewis County,193.0
99126,Evans,WA,Stevens County,189.5
98201,Everett,WA,Snohomish County,193.0
98203,Everett,WA,Snohomish County,193.0
98204,Everett,WA,Snohomish County,193.0
98206,Everett,WA,Snohomish County,193.0
98207,Everett,WA,Snohomish County,193.0
98208,Everett,WA,Snohomish County,193.0
98213,Everett,WA,Snohomish County,193.0
99011,Fairchild Air Force Base,WA,Spokane County,239.0
99012,Fairfield,WA,Spokane County,239.0
98024,Fall City,WA,King County,193.0
98003,Federal Way,WA,King County,193.0
98023,Federal Way,WA,King County,193.0
98063,Federal Way,WA,King County,193.0
98093,Federal Way,WA,King County,193.0
98424,Fife,WA,Pierce County,213.0
99013,Ford,WA,Stevens County,189.5
99014,Four Lakes,WA,Spokane County,239.0
98333,Fox Island,WA,Pierce County,213.0
99129,Fruitland,WA,Stevens County,189.5
98544,Galvin,WA,Lewis County,193.0
99131,Gifford,WA,Stevens County,189.5
98329,Gig Harbor,WA,Pierce County,213.0
98332,Gig Harbor,WA,Pierce County,213.0
98335,Gig Harbor,WA,Pierce County,213.0
98336,Glenoma,WA,Lewis County,193.0
98251,Gold Bar,WA,Snohomish County,193.0
98338,Graham,WA,Pierce County,213.0
98930,Grandview,WA,Yakima County,189.5
98932,Granger,WA,Yakima County,189.5
98252,Granite Falls,WA,Snohomish County,193.0
99016,Greenacres,WA,Spokane County,239.0
98255,Hamilton,WA,Skagit County,189.5
98933,Harrah,WA,Yakima County,189.5
98622,Heisson,WA,Clark County,193.0
98025,Hobart,WA,King County,193.0
99137,Hunters,WA,Stevens County,189.5
98256,Index,WA,Snohomish County,193.0
99139,Ione,WA,Pend Oreille County,189.5
98027,Issaquah,WA,King County,193.0
98029,Issaquah,WA,King County,193.0
99335,Kahlotus,WA,Franklin County,193.0
98625,Kalama,WA,Cowlitz County,189.5
98344,Kapowsin,WA,Pierce County,213.0
98626,Kelso,WA,Cowlitz County,189.5
98028,Kenmore,WA,King County,193.0
99336,Kennewick,WA,Benton County,189.5
99337,Kennewick,WA,Benton County,189.5
99338,Kennewick,WA,Benton County,189.5
98030,Kent,WA,King County,193.0
98031,Kent,WA,King County,193.0
98032,Kent,WA,King County,193.0
98035,Kent,WA,King County,193.0
98042,Kent,WA,King County,193.0
98064,Kent,WA,King County,193.0
98089,Kent,WA,King County,193.0
99141,Kettle Falls,WA,Stevens County,189.5
