zip,city,state,county,payout
01001,Agawam,MA,Hampden County,33.5
01002,Amherst,MA,Hampshire County,33.5
01003,Amherst,MA,Hampshire County,33.5
01004,Amherst,MA,Hampshire County,33.5
01007,Belchertown,MA,Hampshire County,33.5
01009,Bondsville,MA,Hampden County,33.5
01010,Brimfield,MA,Hampden County,33.5
01013,Chicopee,MA,Hampden County,33.5
01014,Chicopee,MA,Hampden County,33.5
01020,Chicopee,MA,Hampden County,33.5
01021,Chicopee,MA,Hampden County,33.5
01022,Chicopee,MA,Hampden County,33.5
01028,East Longmeadow,MA,Hampden County,33.5
01027,Easthampton,MA,Hampshire County,33.5
01030,Feeding Hills,MA,Hampden County,33.5
01062,Florence,MA,Hampshire County,33.5
01033,Granby,MA,Hampshire County,33.5
01035,Hadley,MA,Hampshire County,33.5
01036,Hampden,MA,Hampden County,33.5
01038,Hatfield,MA,Hampshire County,33.5
01521,Holland,MA,Hampden County,33.5
01040,Holyoke,MA,Hampden County,33.5
01041,Holyoke,MA,Hampden County,33.5
01151,Indian Orchard,MA,Hampden County,33.5
01053,Leeds,MA,Hampshire County,33.5
01106,Longmeadow,MA,Hampden County,33.5
01116,Longmeadow,MA,Hampden County,33.5
01056,Ludlow,MA,Hampden County,33.5
01057,Monson,MA,Hampden County,33.5
01059,North Amherst,MA,Hampshire County,33.5
01060,Northampton,MA,Hampshire County,33.5
01061,Northampton,MA,Hampshire County,33.5
01063,Northampton,MA,Hampshire County,33.5
01069,Palmer,MA,Hampden County,33.5
01071,Russell,MA,Hampden County,33.5
01075,South Hadley,MA,Hampshire County,33.5
01073,Southampton,MA,Hampshire County,33.5
01077,Southwick,MA,Hampden County,33.5
01101,Springfield,MA,Hampden County,33.5
01102,Springfield,MA,Hampden County,33.5
01103,Springfield,MA,Hampden County,33.5
01104,Springfield,MA,Hampden County,33.5
01105,Springfield,MA,Hampden County,33.5
01107,Springfield,MA,Hampden County,33.5
01108,Springfield,MA,Hampden County,33.5
01109,Springfield,MA,Hampden County,33.5
01111,Springfield,MA,Hampden County,33.5
01115,Springfield,MA,Hampden County,33.5
01118,Springfield,MA,Hampden County,33.5
01119,Springfield,MA,Hampden County,33.5
01128,Springfield,MA,Hampden County,33.5
01129,Springfield,MA,Hampden County,33.5
01138,Springfield,MA,Hampden County,33.5
01139,Springfield,MA,Hampden County,33.5
01144,Springfield,MA,Hampden County,33.5
01152,Springfield,MA,Hampden County,33.5
01199,Springfield,MA,Hampden County,33.5
01079,Thorndike,MA,Hampden County,33.5
01080,Three Rivers,MA,Hampden County,33.5
01081,Wales,MA,Hampden County,33.5
01082,Ware,MA,Hampshire County,33.5
01083,Warren,MA,Worcester County,33.5
01088,West Hatfield,MA,Hampshire County,33.5
01089,West Springfield,MA,Hampden County,33.5
01090,West Springfield,MA,Hampden County,33.5
01092,West Warren,MA,Worcester County,33.5
01085,Westfield,MA,Hampden County,33.5
01086,Westfield,MA,Hampden County,33.5
01095,Wilbraham,MA,Hampden County,33.5
01097,Woronoco,MA,Hampden County,33.5
