zip,city,state,county
00501,Holtsville,NY,Suffolk County
00544,Holtsville,NY,Suffolk County
00601,Adjuntas,PR,Adjuntas Municipio
00602,Aguada,PR,Aguada Municipio
00603,Aguadilla,PR,Aguadilla Municipio
00604,Aguadilla,PR,
00605,Aguadilla,PR,
00606,Maricao,PR,Maricao Municipio
00610,Anasco,PR,Anasco Municipio
00611,Angeles,PR,Utuado Municipio
00612,Arecibo,PR,Arecibo Municipio
00613,Arecibo,PR,
00614,Arecibo,PR,
00616,Bajadero,PR,Arecibo Municipio
00617,Barceloneta,PR,Barceloneta Municipio
00622,Boqueron,PR,Cabo Rojo Municipio
00623,Cabo Rojo,PR,Cabo Rojo Municipio
00624,Penuelas,PR,Penuelas Municipio
00627,Camuy,PR,Camuy Municipio
00631,Castaner,PR,Lares Municipio
00636,Rosario,PR,San German Municipio
00637,Sabana Grande,PR,Sabana Grande Municipio
00638,Ciales,PR,Ciales Municipio
00641,Utuado,PR,Utuado Municipio
00646,Dorado,PR,Dorado Municipio
00647,Ensenada,PR,Guanica Municipio
00650,Florida,PR,Florida Municipio
00652,Garrochales,PR,Arecibo Municipio
00653,Guanica,PR,Guanica Municipio
00656,Guayanilla,PR,Guayanilla Municipio
00659,Hatillo,PR,Hatillo Municipio
00660,Hormigueros,PR,Hormigueros Municipio
00662,Isabela,PR,Isabela Municipio
00664,Jayuya,PR,Jayuya Municipio
00667,Lajas,PR,Lajas Municipio
00669,Lares,PR,Lares Municipio
00670,Las Marias,PR,Las Marias Municipio
00674,Manati,PR,Manati Municipio
00676,Moca,PR,Moca Municipio
00677,Rincon,PR,Rincon Municipio
00678,Quebradillas,PR,Quebradillas Municipio
00680,Mayaguez,PR,Mayaguez Municipio
00681,Mayaguez,PR,
00682,Mayaguez,PR,Mayaguez Municipio
00683,San German,PR,San German Municipio
00685,San Sebastian,PR,San Sebastian Municipio
00687,Morovis,PR,Morovis Municipio
00688,Sabana Hoyos,PR,Arecibo Municipio
00690,San Antonio,PR,Aguadilla Municipio
00692,Vega Alta,PR,Vega Alta Municipio
00693,Vega Baja,PR,Vega Baja Municipio
00694,Vega Baja,PR,Vega Baja Municipio
00698,Yauco,PR,Yauco Municipio
00703,Aguas Buenas,PR,Aguas Buenas Municipio
00704,Aguirre,PR,Salinas Municipio
00705,Aibonito,PR,Aibonito Municipio
00707,Maunabo,PR,Maunabo Municipio
00714,Arroyo,PR,Arroyo Municipio
00715,Mercedita,PR,Ponce Municipio
00716,Ponce,PR,Ponce Municipio
00717,Ponce,PR,Ponce Municipio
00718,Naguabo,PR,Naguabo Municipio
00719,Naranjito,PR,Naranjito Municipio
00720,Orocovis,PR,Orocovis Municipio
00721,Palmer,PR,
00723,Patillas,PR,Patillas Municipio
00725,Caguas,PR,Caguas Municipio
00726,Caguas,PR,
00727,Caguas,PR,Caguas Municipio
00728,Ponce,PR,Ponce Municipio
00729,Canovanas,PR,Canovanas Municipio
00730,Ponce,PR,Ponce Municipio
00731,Ponce,PR,Ponce Municipio
00732,Ponce,PR,
00733,Ponce,PR,
00734,Ponce,PR,
00735,Ceiba,PR,Ceiba Municipio
00736,Cayey,PR,Cayey Municipio
00737,Cayey,PR,
00738,Fajardo,PR,Fajardo Municipio
00739,Cidra,PR,Cidra Municipio
00740,Puerto Real,PR,Fajardo Municipio
00741,Punta Santiago,PR,Humacao Municipio
00742,Roosevelt Roads,PR,
00744,Rio Blanco,PR,
00745,Rio Grande,PR,Rio Grande Municipio
00751,Salinas,PR,Salinas Municipio
00754,San Lorenzo,PR,San Lorenzo Municipio
00757,Santa Isabel,PR,Santa Isabel Municipio
00765,Vieques,PR,Vieques Municipio
00766,Villalba,PR,Villalba Municipio
00767,Yabucoa,PR,Yabucoa Municipio
00769,Coamo,PR,Coamo Municipio
00771,Las Piedras,PR,Las Piedras Municipio
00772,Loiza,PR,Loiza Municipio
00773,Luquillo,PR,Luquillo Municipio
00775,Culebra,PR,Culebra Municipio
00777,Juncos,PR,Juncos Municipio
00778,Gurabo,PR,Gurabo Municipio
00780,Coto Laurel,PR,Ponce Municipio
00782,Comerio,PR,Comerio Municipio
00783,Corozal,PR,Corozal Municipio
00784,Guayama,PR,Guayama Municipio
00785,Guayama,PR,
00786,La Plata,PR,Aibonito Municipio
00791,Humacao,PR,Humacao Municipio
00792,Humacao,PR,
00794,Barranquitas,PR,Barranquitas Municipio
00795,Juana Diaz,PR,Juana Diaz Municipio
00801,St Thomas,VI,
00802,St Thomas,VI,
00803,St Thomas,VI,
00804,St Thomas,VI,
00805,St Thomas,VI,
00820,Christiansted,VI,
00821,Christiansted,VI,
00822,Christiansted,VI,
00823,Christiansted,VI,
00824,Christiansted,VI,
00830,St John,VI,
00831,St John,VI,
00840,Frederiksted,VI,
00841,Frederiksted,VI,
00850,Kingshill,VI,
00851,Kingshill,VI,
00901,San Juan,PR,San Juan Municipio
00902,San Juan,PR,
00906,San Juan,PR,San Juan Municipio
00907,San Juan,PR,San Juan Municipio
00908,San Juan,PR,
00909,San Juan,PR,San Juan Municipio
00910,San Juan,PR,
00911,San Juan,PR,San Juan Municipio
00912,San Juan,PR,San Juan Municipio
00913,San Juan,PR,San Juan Municipio
00914,San Juan,PR,
00915,San Juan,PR,San Juan Municipio
00916,San Juan,PR,
00917,San Juan,PR,San Juan Municipio
00918,San Juan,PR,San Juan Municipio
