zip,city,state,county,payout
66006,Baldwin City,KS,Douglas County,74.0
66007,Basehor,KS,Leavenworth County,75.0
66012,Bonner Springs,KS,Wyandotte County,78.5
66013,Bucyrus,KS,Johnson County,74.0
66018,De Soto,KS,Johnson County,77.5
66020,Easton,KS,Leavenworth County,75.0
66021,Edgerton,KS,Johnson County,77.5
66113,Edwardsville,KS,Wyandotte County,78.5
66025,Eudora,KS,Douglas County,74.0
66026,Fontana,KS,Miami County,74.0
66027,Fort Leavenworth,KS,Leavenworth County,75.0
66030,Gardner,KS,Johnson County,77.5
66036,Hillsdale,KS,Miami County,74.0
66101,Kansas City,KS,Wyandotte County,78.5
66102,Kansas City,KS,Wyandotte County,78.5
66103,Kansas City,KS,Wyandotte County,78.5
66104,Kansas City,KS,Wyandotte County,78.5
66105,Kansas City,KS,Wyandotte County,78.5
66106,Kansas City,KS,Wyandotte County,78.5
66109,Kansas City,KS,Wyandotte County,78.5
66110,Kansas City,KS,Wyandotte County,78.5
66111,Kansas City,KS,Wyandotte County,78.5
66112,Kansas City,KS,Wyandotte County,78.5
66115,Kansas City,KS,Wyandotte County,78.5
66117,Kansas City,KS,Wyandotte County,78.5
66118,Kansas City,KS,Wyandotte County,78.5
66119,Kansas City,KS,Wyandotte County,78.5
66160,Kansas City,KS,Wyandotte County,78.5
66043,Lansing,KS,Leavenworth County,75.0
66044,Lawrence,KS,Douglas County,74.0
66045,Lawrence,KS,Douglas County,74.0
66046,Lawrence,KS,Douglas County,74.0
66047,Lawrence,KS,Douglas County,74.0
66049,Lawrence,KS,Douglas County,74.0
66048,Leavenworth,KS,Leavenworth County,75.0
66206,Leawood,KS,Johnson County,77.5
66209,Leawood,KS,Johnson County,77.5
66211,Leawood,KS,Johnson County,77.5
66050,Lecompton,KS,Douglas County,74.0
66215,Lenexa,KS,Johnson County,77.5
66219,Lenexa,KS,Johnson County,77.5
66220,Lenexa,KS,Johnson County,77.5
66227,Lenexa,KS,Johnson County,77.5
66250,Lenexa,KS,Johnson County,77.5
66276,Lenexa,KS,Johnson County,77.5
66285,Lenexa,KS,Johnson County,77.5
66052,Linwood,KS,Leavenworth County,75.0
66053,Louisburg,KS,Miami County,74.0
66054,McLouth,KS,Jefferson County,74.0
66201,Mission,KS,Johnson County,77.5
66202,Mission,KS,Johnson County,77.5
66205,Mission,KS,Johnson County,77.5
66222,Mission,KS,Johnson County,77.5
66031,New Century,KS,Johnson County,77.5
66051,Olathe,KS,Johnson County,77.5
66061,Olathe,KS,Johnson County,77.5
66062,Olathe,KS,Johnson County,77.5
66063,Olathe,KS,Johnson County,77.5
66064,Osawatomie,KS,Miami County,74.0
66067,Ottawa,KS,Franklin County,74.0
66524,Overbrook,KS,Osage County,81.5
66204,Overland Park,KS,Johnson County,77.5
66207,Overland Park,KS,Johnson County,77.5
66210,Overland Park,KS,Johnson County,77.5
66212,Overland Park,KS,Johnson County,77.5
66213,Overland Park,KS,Johnson County,77.5
66214,Overland Park,KS,Johnson County,77.5
66221,Overland Park,KS,Johnson County,77.5
66223,Overland Park,KS,Johnson County,77.5
66224,Overland Park,KS,Johnson County,77.5
66225,Overland Park,KS,Johnson County,77.5
66251,Overland Park,KS,Johnson County,77.5
66282,Overland Park,KS,Johnson County,77.5
66283,Overland Park,KS,Johnson County,77.5
66071,Paola,KS,Miami County,74.0
66073,Perry,KS,Jefferson County,74.0
66208,Prairie Village,KS,Johnson County,77.5
66079,Rantoul,KS,Franklin County,74.0
66203,Shawnee,KS,Johnson County,77.5
66216,Shawnee,KS,Johnson County,77.5
66217,Shawnee,KS,Johnson County,77.5
66218,Shawnee,KS,Johnson County,77.5
66226,Shawnee,KS,Johnson County,77.5
66286,Shawnee,KS,Johnson County,77.5
66083,Spring Hill,KS,Johnson County,77.5
66085,Stilwell,KS,Johnson County,77.5
66086,Tonganoxie,KS,Leavenworth County,75.0
66092,Wellsville,KS,Franklin County,74.0
