zip,city,state,county,payout
98520,Aberdeen,WA,Grays Harbor County,96.25
98220,Acme,WA,Whatcom County,96.25
99101,Addy,WA,Stevens County,96.25
98522,Adna,WA,Lewis County,96.25
99001,Airway Heights,WA,Spokane County,96.25
99102,Albion,WA,Whitman County,96.25
98524,Allyn,WA,Mason County,96.25
99103,Almira,WA,Lincoln County,96.25
98526,Amanda Park,WA,Grays Harbor County,96.25
98601,Amboy,WA,Clark County,96.25
98221,Anacortes,WA,Skagit County,96.25
99401,Anatone,WA,Asotin County,96.25
98303,Anderson Island,WA,Pierce County,96.25
98602,Appleton,WA,Klickitat County,96.25
98811,Ardenvoir,WA,Chelan County,96.25
98603,Ariel,WA,Cowlitz County,96.25
98223,Arlington,WA,Snohomish County,96.25
98304,Ashford,WA,Pierce County,96.25
99402,Asotin,WA,Asotin County,96.25
98001,Auburn,WA,King County,96.25
98002,Auburn,WA,King County,96.25
98071,Auburn,WA,King County,96.25
98092,Auburn,WA,King County,96.25
98110,Bainbridge Island,WA,Kitsap County,96.25
98224,Baring,WA,King County,96.25
98604,Battle Ground,WA,Clark County,96.25
98527,Bay Center,WA,Pacific County,96.25
98305,Beaver,WA,Clallam County,96.25
98528,Belfair,WA,Mason County,96.25
98004,Bellevue,WA,King County,96.25
98005,Bellevue,WA,King County,96.25
98006,Bellevue,WA,King County,96.25
98007,Bellevue,WA,King County,96.25
98008,Bellevue,WA,King County,96.25
98009,Bellevue,WA,King County,96.25
98015,Bellevue,WA,King County,96.25
98225,Bellingham,WA,Whatcom County,96.25
98226,Bellingham,WA,Whatcom County,96.25
98227,Bellingham,WA,Whatcom County,96.25
98228,Bellingham,WA,Whatcom County,96.25
98229,Bellingham,WA,Whatcom County,96.25
99104,Belmont,WA,Whitman County,96.25
99105,Benge,WA,Adams County,96.25
99320,Benton City,WA,Benton County,96.25
99321,Beverly,WA,Grant County,96.25
99322,Bickleton,WA,Klickitat County,96.25
98605,Bingen,WA,Klickitat County,96.25
98010,Black Diamond,WA,King County,96.25
98230,Blaine,WA,Whatcom County,96.25
98231,Blaine,WA,Whatcom County,96.25
98222,Blakely Island,WA,San Juan County,96.25
98391,Bonney Lake,WA,Pierce County,96.25
98011,Bothell,WA,King County,96.25
98012,Bothell,WA,Snohomish County,96.25
98021,Bothell,WA,Snohomish County,96.25
98041,Bothell,WA,King County,96.25
98232,Bow,WA,Skagit County,96.25
98310,Bremerton,WA,Kitsap County,96.25
98311,Bremerton,WA,Kitsap County,96.25
98312,Bremerton,WA,Kitsap County,96.25
98314,Bremerton,WA,Kitsap County,96.25
98337,Bremerton,WA,Kitsap County,96.25
98812,Brewster,WA,Okanogan County,96.25
98813,Bridgeport,WA,Douglas County,96.25
98320,Brinnon,WA,Jefferson County,96.25
98920,Brownstown,WA,Yakima County,96.25
98606,Brush Prairie,WA,Clark County,96.25
98321,Buckley,WA,Pierce County,96.25
98530,Bucoda,WA,Thurston County,96.25
98921,Buena,WA,Yakima County,96.25
99323,Burbank,WA,Walla Walla County,96.25
98322,Burley,WA,Kitsap County,96.25
98233,Burlington,WA,Skagit County,96.25
98013,Burton,WA,King County,96.25
98282,Camano Island,WA,Island County,96.25
98607,Camas,WA,Clark County,96.25
98430,Camp Murray,WA,Pierce County,96.25
98323,Carbonado,WA,Pierce County,96.25
98324,Carlsborg,WA,Clallam County,96.25
98814,Carlton,WA,Okanogan County,96.25
98014,Carnation,WA,King County,96.25
98609,Carrolls,WA,Cowlitz County,96.25
98610,Carson,WA,Skamania County,96.25
98815,Cashmere,WA,Chelan County,96.25
98611,Castle Rock,WA,Cowlitz County,96.25
98612,Cathlamet,WA,Wahkiakum County,96.25
98613,Centerville,WA,Klickitat County,96.25
98531,Centralia,WA,Lewis County,96.25
