zip,city,state,county,payout
42202,Adairville,KY,Logan County,96.0
42204,Allensville,KY,Todd County,96.0
42122,Alvaton,KY,Warren County,96.0
42206,Auburn,KY,Logan County,96.0
42123,Austin,KY,Barren County,96.0
42025,Benton,KY,Marshall County,96.0
42101,Bowling Green,KY,Warren County,96.0
42102,Bowling Green,KY,Warren County,96.0
42103,Bowling Green,KY,Warren County,96.0
42104,Bowling Green,KY,Warren County,96.0
42128,Bowling Green,KY,Warren County,96.0
42211,Cadiz,KY,Trigg County,96.0
42127,Cave City,KY,Barren County,96.0
42215,Cerulean,KY,Christian County,96.0
42217,Crofton,KY,Christian County,96.0
42408,Dawson Springs,KY,Hopkins County,96.0
42130,Eighty Eight,KY,Barren County,96.0
42131,Etoile,KY,Barren County,96.0
42223,Fort Campbell,KY,Christian County,96.0
42133,Fountain Run,KY,Monroe County,96.0
42141,Glasgow,KY,Barren County,96.0
42142,Glasgow,KY,Barren County,96.0
42232,Gracey,KY,Christian County,96.0
42236,Herndon,KY,Christian County,96.0
42152,Hiseville,KY,Barren County,96.0
42240,Hopkinsville,KY,Christian County,96.0
42241,Hopkinsville,KY,Christian County,96.0
42254,La Fayette,KY,Christian County,96.0
42256,Lewisburg,KY,Logan County,96.0
42156,Lucas,KY,Barren County,96.0
42071,Murray,KY,Calloway County,96.0
42262,Oak Grove,KY,Christian County,96.0
42159,Oakland,KY,Warren County,96.0
42265,Olmstead,KY,Logan County,96.0
42160,Park City,KY,Barren County,96.0
42266,Pembroke,KY,Christian County,96.0
42274,Rockfield,KY,Warren County,96.0
42276,Russellville,KY,Logan County,96.0
42171,Smiths Grove,KY,Warren County,96.0
42166,Summer Shade,KY,Metcalfe County,96.0
42286,Trenton,KY,Todd County,96.0
42464,White Plains,KY,Hopkins County,96.0
42170,Woodburn,KY,Warren County,96.0
