zip,city,state,county,payout
98604,Battle Ground,WA,Clark County,51.5
98606,Brush Prairie,WA,Clark County,51.5
98607,Camas,WA,Clark County,51.5
98629,La Center,WA,Clark County,51.5
98642,Ridgefield,WA,Clark County,51.5
98660,Vancouver,WA,Clark County,51.5
98661,Vancouver,WA,Clark County,51.5
98662,Vancouver,WA,Clark County,51.5
98663,Vancouver,WA,Clark County,51.5
98664,Vancouver,WA,Clark County,51.5
98665,Vancouver,WA,Clark County,51.5
98682,Vancouver,WA,Clark County,51.5
98683,Vancouver,WA,Clark County,51.5
98684,Vancouver,WA,Clark County,51.5
98685,Vancouver,WA,Clark County,51.5
98686,Vancouver,WA,Clark County,51.5
98671,Washougal,WA,Clark County,51.5
98675,Yacolt,WA,Clark County,51.5
