zip,city,state,county,payout
51001,Akron,IA,Plymouth County,203.0
51003,Alton,IA,Sioux County,203.0
51230,Alvord,IA,Lyon County,203.0
51231,Archer,IA,O'Brien County,203.0
51232,Ashton,IA,Osceola County,203.0
51521,Avoca,IA,Pottawattamie County,179.0
51234,Boyden,IA,Sioux County,203.0
51008,Brunsville,IA,Plymouth County,203.0
51525,Carson,IA,Pottawattamie County,179.0
51510,Carter Lake,IA,Pottawattamie County,179.0
51011,Chatsworth,IA,Sioux County,203.0
51501,Council Bluffs,IA,Pottawattamie County,179.0
51502,Council Bluffs,IA,Pottawattamie County,179.0
51503,Council Bluffs,IA,Pottawattamie County,179.0
51526,Crescent,IA,Pottawattamie County,179.0
51235,Doon,IA,Lyon County,203.0
51529,Dunlap,IA,Harrison County,179.0
51532,Elliott,IA,Montgomery County,179.0
51533,Emerson,IA,Mills County,179.0
51237,George,IA,Lyon County,203.0
51534,Glenwood,IA,Mills County,179.0
51022,Granville,IA,Sioux County,203.0
51535,Griswold,IA,Cass County,179.0
51536,Hancock,IA,Pottawattamie County,179.0
51540,Hastings,IA,Mills County,179.0
51023,Hawarden,IA,Sioux County,203.0
51541,Henderson,IA,Mills County,179.0
51542,Honey Creek,IA,Pottawattamie County,179.0
51238,Hospers,IA,Sioux County,203.0
51239,Hull,IA,Sioux County,203.0
51645,Imogene,IA,Fremont County,179.0
51240,Inwood,IA,Lyon County,203.0
51027,Ireton,IA,Sioux County,203.0
51241,Larchwood,IA,Lyon County,203.0
51031,Le Mars,IA,Plymouth County,203.0
51242,Lester,IA,Lyon County,203.0
51544,Lewis,IA,Cass County,179.0
51243,Little Rock,IA,Lyon County,203.0
51545,Little Sioux,IA,Harrison County,179.0
51546,Logan,IA,Harrison County,179.0
51549,Macedonia,IA,Pottawattamie County,179.0
51550,Magnolia,IA,Harrison County,179.0
51551,Malvern,IA,Mills County,179.0
51244,Matlock,IA,Sioux County,203.0
51036,Maurice,IA,Sioux County,203.0
51548,McClelland,IA,Pottawattamie County,179.0
51350,Melvin,IA,Osceola County,203.0
51038,Merrill,IA,Plymouth County,203.0
51553,Minden,IA,Pottawattamie County,179.0
51554,Mineola,IA,Mills County,179.0
51555,Missouri Valley,IA,Harrison County,179.0
51556,Modale,IA,Harrison County,179.0
51557,Mondamin,IA,Harrison County,179.0
51559,Neola,IA,Pottawattamie County,179.0
51560,Oakland,IA,Pottawattamie County,179.0
51354,Ocheyedan,IA,Osceola County,203.0
51041,Orange City,IA,Sioux County,203.0
51045,Oyens,IA,Plymouth County,203.0
51561,Pacific Junction,IA,Mills County,179.0
51563,Persia,IA,Harrison County,179.0
51564,Pisgah,IA,Harrison County,179.0
51565,Portsmouth,IA,Shelby County,179.0
51245,Primghar,IA,O'Brien County,203.0
51050,Remsen,IA,Plymouth County,203.0
51246,Rock Rapids,IA,Lyon County,203.0
51247,Rock Valley,IA,Sioux County,203.0
51248,Sanborn,IA,O'Brien County,203.0
51570,Shelby,IA,Shelby County,179.0
51201,Sheldon,IA,O'Brien County,203.0
51249,Sibley,IA,Osceola County,203.0
51571,Silver City,IA,Mills County,179.0
51250,Sioux Center,IA,Sioux County,203.0
51653,Tabor,IA,Fremont County,179.0
51575,Treynor,IA,Pottawattamie County,179.0
51576,Underwood,IA,Pottawattamie County,179.0
51577,Walnut,IA,Pottawattamie County,179.0
51062,Westfield,IA,Plymouth County,203.0
51579,Woodbine,IA,Harrison County,179.0
