zip,city,state,county,payout
21001,Aberdeen,MD,Harford County,65.5
21005,Aberdeen Proving Ground,MD,Harford County,65.5
21009,Abingdon,MD,Harford County,65.5
20607,Accokeek,MD,Prince George'S County,91.5
21710,Adamstown,MD,Frederick County,65.5
20762,Andrews Air Force Base,MD,Prince George'S County,91.5
21401,Annapolis,MD,Anne Arundel County,88.0
21402,Annapolis,MD,Anne Arundel County,88.0
21403,Annapolis,MD,Anne Arundel County,88.0
21404,Annapolis,MD,Anne Arundel County,88.0
21405,Annapolis,MD,Anne Arundel County,88.0
21409,Annapolis,MD,Anne Arundel County,88.0
21411,Annapolis,MD,Anne Arundel County,88.0
21412,Annapolis,MD,Anne Arundel County,88.0
20701,Annapolis Junction,MD,Anne Arundel County,65.5
20608,Aquasco,MD,Prince George'S County,91.5
21012,Arnold,MD,Anne Arundel County,88.0
20861,Ashton,MD,Montgomery County,93.0
21013,Baldwin,MD,Baltimore County,65.5
21240,Baltimore,MD,Anne Arundel County,88.0
21250,Baltimore,MD,Baltimore County,65.5
20838,Barnesville,MD,Montgomery County,93.0
20610,Barstow,MD,Calvert County,65.5
20839,Beallsville,MD,Montgomery County,93.0
21014,Bel Air,MD,Harford County,65.5
21015,Bel Air,MD,Harford County,65.5
20611,Bel Alton,MD,Charles County,65.5
21017,Belcamp,MD,Harford County,65.5
20704,Beltsville,MD,Prince George'S County,91.5
20705,Beltsville,MD,Prince George'S County,91.5
20612,Benedict,MD,Charles County,65.5
21018,Benson,MD,Harford County,65.5
20810,Bethesda,MD,Montgomery County,93.0
20811,Bethesda,MD,Montgomery County,93.0
20813,Bethesda,MD,Montgomery County,93.0
20814,Bethesda,MD,Montgomery County,93.0
20816,Bethesda,MD,Montgomery County,93.0
20817,Bethesda,MD,Montgomery County,93.0
20824,Bethesda,MD,Montgomery County,93.0
20827,Bethesda,MD,Montgomery County,93.0
20889,Bethesda,MD,Montgomery County,93.0
20892,Bethesda,MD,Montgomery County,93.0
20894,Bethesda,MD,Montgomery County,93.0
20710,Bladensburg,MD,Prince George'S County,91.5
21020,Boring,MD,Baltimore County,65.5
20715,Bowie,MD,Prince George'S County,91.5
20716,Bowie,MD,Prince George'S County,91.5
20717,Bowie,MD,Prince George'S County,91.5
20718,Bowie,MD,Prince George'S County,91.5
20719,Bowie,MD,Prince George'S County,91.5
20720,Bowie,MD,Prince George'S County,91.5
20721,Bowie,MD,Prince George'S County,91.5
20841,Boyds,MD,Montgomery County,93.0
21714,Braddock Heights,MD,Frederick County,65.5
20613,Brandywine,MD,Prince George'S County,91.5
20722,Brentwood,MD,Prince George'S County,91.5
20862,Brinklow,MD,Montgomery County,93.0
20833,Brookeville,MD,Montgomery County,93.0
21022,Brooklandville,MD,Baltimore County,65.5
21225,Brooklyn,MD,Baltimore city,88.0
20615,Broomes Island,MD,Calvert County,65.5
21716,Brunswick,MD,Frederick County,65.5
20616,Bryans Road,MD,Charles County,65.5
20617,Bryantown,MD,Charles County,65.5
21717,Buckeystown,MD,Frederick County,65.5
21718,Burkittsville,MD,Frederick County,65.5
20866,Burtonsville,MD,Montgomery County,93.0
21023,Butler,MD,Baltimore County,65.5
20818,Cabin John,MD,Montgomery County,93.0
20731,Capitol Heights,MD,Prince George'S County,91.5
20743,Capitol Heights,MD,Prince George'S County,91.5
20790,Capitol Heights,MD,Prince George'S County,91.5
20791,Capitol Heights,MD,Prince George'S County,91.5
20799,Capitol Heights,MD,Prince George'S County,91.5
21228,Catonsville,MD,Baltimore County,65.5
21913,Cecilton,MD,Cecil County,65.5
21914,Charlestown,MD,Cecil County,65.5
20622,Charlotte Hall,MD,Charles County,65.5
21027,Chase,MD,Baltimore County,65.5
20623,Cheltenham,MD,Prince George'S County,91.5
20732,Chesapeake Beach,MD,Calvert County,65.5
21915,Chesapeake City,MD,Cecil County,65.5
20815,Chevy Chase,MD,Montgomery County,93.0
20825,Chevy Chase,MD,Montgomery County,93.0
21916,Childs,MD,Cecil County,65.5
20733,Churchton,MD,Anne Arundel County,88.0
21028,Churchville,MD,Harford County,65.5
20871,Clarksburg,MD,Montgomery County,93.0
21029,Clarksville,MD,Howard County,65.5
20735,Clinton,MD,Prince George'S County,91.5
20625,Cobb Island,MD,Charles County,65.5
21030,Cockeysville,MD,Baltimore County,65.5
20740,College Park,MD,Prince George'S County,91.5
20741,College Park,MD,Prince George'S County,91.5
20742,College Park,MD,Prince George'S County,91.5
21917,Colora,MD,Cecil County,65.5
21044,Columbia,MD,Howard County,65.5
21045,Columbia,MD,Howard County,65.5
21046,Columbia,MD,Howard County,65.5
21918,Conowingo,MD,Cecil County,65.5
21723,Cooksville,MD,Howard County,65.5
21114,Crofton,MD,Anne Arundel County,88.0
21032,Crownsville,MD,Anne Arundel County,88.0
