zip,city,state,county,payout
67510,Abbyville,KS,Reno County,102.5
67001,Andale,KS,Sedgwick County,102.5
67002,Andover,KS,Butler County,102.5
67003,Anthony,KS,Harper County,102.5
67004,Argonia,KS,Sumner County,102.5
67005,Arkansas City,KS,Cowley County,102.5
67514,Arlington,KS,Reno County,102.5
67416,Assaria,KS,Saline County,102.5
67008,Atlanta,KS,Cowley County,102.5
67009,Attica,KS,Harper County,102.5
67010,Augusta,KS,Butler County,102.5
67012,Beaumont,KS,Butler County,102.5
67013,Belle Plaine,KS,Sumner County,102.5
67016,Bentley,KS,Sedgwick County,102.5
67017,Benton,KS,Butler County,102.5
67018,Bluff City,KS,Harper County,102.5
66013,Bucyrus,KS,Johnson County,115.5
67522,Buhler,KS,Reno County,102.5
67019,Burden,KS,Cowley County,102.5
66840,Burns,KS,Marion County,102.5
67020,Burrton,KS,Harvey County,102.5
67022,Caldwell,KS,Sumner County,102.5
67023,Cambridge,KS,Cowley County,102.5
67428,Canton,KS,Mcpherson County,102.5
66842,Cassoday,KS,Butler County,102.5
67025,Cheney,KS,Sedgwick County,102.5
67026,Clearwater,KS,Sedgwick County,102.5
67030,Colwich,KS,Sedgwick County,102.5
67031,Conway Springs,KS,Sumner County,102.5
67035,Cunningham,KS,Kingman County,102.5
67036,Danville,KS,Harper County,102.5
66018,De Soto,KS,Johnson County,115.5
67037,Derby,KS,Sedgwick County,102.5
67038,Dexter,KS,Cowley County,102.5
67039,Douglass,KS,Butler County,102.5
67438,Durham,KS,Marion County,102.5
66021,Edgerton,KS,Johnson County,115.5
67042,El Dorado,KS,Butler County,102.5
67041,Elbing,KS,Butler County,102.5
67045,Eureka,KS,Greenwood County,102.5
67442,Falun,KS,Saline County,102.5
66851,Florence,KS,Marion County,102.5
66026,Fontana,KS,Miami County,115.5
67049,Freeport,KS,Harper County,102.5
67443,Galva,KS,Mcpherson County,102.5
67050,Garden Plain,KS,Sedgwick County,102.5
66030,Gardner,KS,Johnson County,115.5
67051,Geuda Springs,KS,Sumner County,102.5
67052,Goddard,KS,Sedgwick County,102.5
67055,Greenwich,KS,Sedgwick County,102.5
67448,Gypsum,KS,Saline County,102.5
67056,Halstead,KS,Harvey County,102.5
67058,Harper,KS,Harper County,102.5
67543,Haven,KS,Reno County,102.5
67060,Haysville,KS,Sedgwick County,102.5
67061,Hazelton,KS,Barber County,102.5
67062,Hesston,KS,Harvey County,102.5
67063,Hillsboro,KS,Marion County,102.5
66036,Hillsdale,KS,Miami County,115.5
67501,Hutchinson,KS,Reno County,102.5
67502,Hutchinson,KS,Reno County,102.5
67504,Hutchinson,KS,Reno County,102.5
67546,Inman,KS,Mcpherson County,102.5
67067,Kechi,KS,Sedgwick County,102.5
67068,Kingman,KS,Kingman County,102.5
67070,Kiowa,KS,Barber County,102.5
67072,Latham,KS,Butler County,102.5
66206,Leawood,KS,Johnson County,115.5
66209,Leawood,KS,Johnson County,115.5
66211,Leawood,KS,Johnson County,115.5
67073,Lehigh,KS,Marion County,102.5
66215,Lenexa,KS,Johnson County,115.5
66219,Lenexa,KS,Johnson County,115.5
66220,Lenexa,KS,Johnson County,115.5
66227,Lenexa,KS,Johnson County,115.5
66250,Lenexa,KS,Johnson County,115.5
66276,Lenexa,KS,Johnson County,115.5
66285,Lenexa,KS,Johnson County,115.5
67074,Leon,KS,Butler County,102.5
67456,Lindsborg,KS,Mcpherson County,102.5
66053,Louisburg,KS,Miami County,115.5
67101,Maize,KS,Sedgwick County,102.5
67102,Maple City,KS,Cowley County,102.5
66861,Marion,KS,Marion County,102.5
67464,Marquette,KS,Mcpherson County,102.5
67103,Mayfield,KS,Sumner County,102.5
67221,Mcconnell Afb,KS,Sedgwick County,102.5
67460,Mcpherson,KS,Mcpherson County,102.5
67104,Medicine Lodge,KS,Barber County,102.5
67105,Milan,KS,Sumner County,102.5
67106,Milton,KS,Sumner County,102.5
66201,Mission,KS,Johnson County,115.5
66202,Mission,KS,Johnson County,115.5
66205,Mission,KS,Johnson County,115.5
66222,Mission,KS,Johnson County,115.5
67107,Moundridge,KS,Mcpherson County,102.5
67108,Mount Hope,KS,Sedgwick County,102.5
67110,Mulvane,KS,Sedgwick County,102.5
67111,Murdock,KS,Kingman County,102.5
67112,Nashville,KS,Kingman County,102.5
66031,New Century,KS,Johnson County,115.5
67114,Newton,KS,Harvey County,102.5
67561,Nickerson,KS,Reno County,102.5
67117,North Newton,KS,Harvey County,102.5
67118,Norwich,KS,Kingman County,102.5
66051,Olathe,KS,Johnson County,115.5
66061,Olathe,KS,Johnson County,115.5
66062,Olathe,KS,Johnson County,115.5
66063,Olathe,KS,Johnson County,115.5
66064,Osawatomie,KS,Miami County,115.5
66204,Overland Park,KS,Johnson County,115.5
66207,Overland Park,KS,Johnson County,115.5
66210,Overland Park,KS,Johnson County,115.5
66212,Overland Park,KS,Johnson County,115.5
66213,Overland Park,KS,Johnson County,115.5
66214,Overland Park,KS,Johnson County,115.5
66221,Overland Park,KS,Johnson County,115.5
66223,Overland Park,KS,Johnson County,115.5
66224,Overland Park,KS,Johnson County,115.5
66225,Overland Park,KS,Johnson County,115.5
66251,Overland Park,KS,Johnson County,115.5
66282,Overland Park,KS,Johnson County,115.5
66283,Overland Park,KS,Johnson County,115.5
67119,Oxford,KS,Sumner County,102.5
66071,Paola,KS,Miami County,115.5
67566,Partridge,KS,Reno County,102.5
66866,Peabody,KS,Marion County,102.5
67120,Peck,KS,Sumner County,102.5
67568,Plevna,KS,Reno County,102.5
67123,Potwin,KS,Butler County,102.5
66208,Prairie Village,KS,Johnson County,115.5
67124,Pratt,KS,Pratt County,102.5
67570,Pretty Prairie,KS,Reno County,102.5
67131,Rock,KS,Cowley County,102.5
67132,Rosalia,KS,Butler County,102.5
67133,Rose Hill,KS,Butler County,102.5
67476,Roxbury,KS,Mcpherson County,102.5
67401,Salina,KS,Saline County,102.5
67135,Sedgwick,KS,Harvey County,102.5
67138,Sharon,KS,Barber County,102.5
66203,Shawnee,KS,Johnson County,115.5
66216,Shawnee,KS,Johnson County,115.5
66217,Shawnee,KS,Johnson County,115.5
66218,Shawnee,KS,Johnson County,115.5
66226,Shawnee,KS,Johnson County,115.5
66286,Shawnee,KS,Johnson County,115.5
67140,South Haven,KS,Sumner County,102.5
67505,South Hutchinson,KS,Reno County,102.5
67142,Spivey,KS,Kingman County,102.5
66083,Spring Hill,KS,Johnson County,115.5
66085,Stilwell,KS,Johnson County,115.5
67581,Sylvia,KS,Reno County,102.5
67144,Towanda,KS,Butler County,102.5
67583,Turon,KS,Reno County,102.5
67146,Udall,KS,Cowley County,102.5
67147,Valley Center,KS,Sedgwick County,102.5
67149,Viola,KS,Sedgwick County,102.5
67150,Waldron,KS,Harper County,102.5
67151,Walton,KS,Harvey County,102.5
67152,Wellington,KS,Sumner County,102.5
67154,Whitewater,KS,Butler County,102.5
67201,Wichita,KS,Sedgwick County,102.5
67202,Wichita,KS,Sedgwick County,102.5
67203,Wichita,KS,Sedgwick County,102.5
67204,Wichita,KS,Sedgwick County,102.5
67205,Wichita,KS,Sedgwick County,102.5
67206,Wichita,KS,Sedgwick County,102.5
67207,Wichita,KS,Sedgwick County,102.5
67208,Wichita,KS,Sedgwick County,102.5
67209,Wichita,KS,Sedgwick County,102.5
67210,Wichita,KS,Sedgwick County,102.5
67211,Wichita,KS,Sedgwick County,102.5
67212,Wichita,KS,Sedgwick County,102.5
67213,Wichita,KS,Sedgwick County,102.5
67214,Wichita,KS,Sedgwick County,102.5
67215,Wichita,KS,Sedgwick County,102.5
67216,Wichita,KS,Sedgwick County,102.5
