zip,city,state,county,payout
48321,Auburn Hills,MI,Oakland County,136.5
48326,Auburn Hills,MI,Oakland County,136.5
48072,Berkley,MI,Oakland County,136.5
48009,Birmingham,MI,Oakland County,136.5
48012,Birmingham,MI,Oakland County,136.5
48301,Bloomfield Hills,MI,Oakland County,136.5
48302,Bloomfield Hills,MI,Oakland County,136.5
48303,Bloomfield Hills,MI,Oakland County,136.5
48304,Bloomfield Hills,MI,Oakland County,136.5
48346,Clarkston,MI,Oakland County,136.5
48347,Clarkston,MI,Oakland County,136.5
48348,Clarkston,MI,Oakland County,136.5
48017,Clawson,MI,Oakland County,136.5
48382,Commerce Township,MI,Oakland County,136.5
48350,Davisburg,MI,Oakland County,136.5
48330,Drayton Plains,MI,Oakland County,136.5
48331,Farmington,MI,Oakland County,136.5
48332,Farmington,MI,Oakland County,136.5
48333,Farmington,MI,Oakland County,136.5
48334,Farmington,MI,Oakland County,136.5
48335,Farmington,MI,Oakland County,136.5
48336,Farmington,MI,Oakland County,136.5
48220,Ferndale,MI,Oakland County,136.5
48025,Franklin,MI,Oakland County,136.5
48030,Hazel Park,MI,Oakland County,136.5
48356,Highland,MI,Oakland County,136.5
48357,Highland,MI,Oakland County,136.5
48442,Holly,MI,Oakland County,136.5
48070,Huntington Woods,MI,Oakland County,136.5
48320,Keego Harbor,MI,Oakland County,136.5
48359,Lake Orion,MI,Oakland County,136.5
48360,Lake Orion,MI,Oakland County,136.5
48361,Lake Orion,MI,Oakland County,136.5
48362,Lake Orion,MI,Oakland County,136.5
48366,Lakeville,MI,Oakland County,136.5
48367,Leonard,MI,Oakland County,136.5
48071,Madison Heights,MI,Oakland County,136.5
48380,Milford,MI,Oakland County,136.5
48381,Milford,MI,Oakland County,136.5
48165,New Hudson,MI,Oakland County,136.5
48374,Novi,MI,Oakland County,136.5
48375,Novi,MI,Oakland County,136.5
48376,Novi,MI,Oakland County,136.5
48377,Novi,MI,Oakland County,136.5
48237,Oak Park,MI,Oakland County,136.5
48363,Oakland,MI,Oakland County,136.5
48462,Ortonville,MI,Oakland County,136.5
48370,Oxford,MI,Oakland County,136.5
48371,Oxford,MI,Oakland County,136.5
48069,Pleasant Ridge,MI,Oakland County,136.5
48340,Pontiac,MI,Oakland County,136.5
48341,Pontiac,MI,Oakland County,136.5
48342,Pontiac,MI,Oakland County,136.5
48343,Pontiac,MI,Oakland County,136.5
48306,Rochester,MI,Oakland County,136.5
48307,Rochester,MI,Oakland County,136.5
48308,Rochester,MI,Oakland County,136.5
48309,Rochester,MI,Oakland County,136.5
48067,Royal Oak,MI,Oakland County,136.5
48068,Royal Oak,MI,Oakland County,136.5
48073,Royal Oak,MI,Oakland County,136.5
48178,South Lyon,MI,Oakland County,136.5
48033,Southfield,MI,Oakland County,136.5
48034,Southfield,MI,Oakland County,136.5
48037,Southfield,MI,Oakland County,136.5
48075,Southfield,MI,Oakland County,136.5
48076,Southfield,MI,Oakland County,136.5
48086,Southfield,MI,Oakland County,136.5
48007,Troy,MI,Oakland County,136.5
48083,Troy,MI,Oakland County,136.5
48084,Troy,MI,Oakland County,136.5
48085,Troy,MI,Oakland County,136.5
48098,Troy,MI,Oakland County,136.5
48099,Troy,MI,Oakland County,136.5
48387,Union Lake,MI,Oakland County,136.5
48390,Walled Lake,MI,Oakland County,136.5
48391,Walled Lake,MI,Oakland County,136.5
48327,Waterford,MI,Oakland County,136.5
48328,Waterford,MI,Oakland County,136.5
48329,Waterford,MI,Oakland County,136.5
48322,West Bloomfield,MI,Oakland County,136.5
48323,West Bloomfield,MI,Oakland County,136.5
48324,West Bloomfield,MI,Oakland County,136.5
48325,West Bloomfield,MI,Oakland County,136.5
48383,White Lake,MI,Oakland County,136.5
48386,White Lake,MI,Oakland County,136.5
48393,Wixom,MI,Oakland County,136.5
