zip,city,state,county,payout
22301,Alexandria,VA,Alexandria city,34.65
22302,Alexandria,VA,Alexandria city,34.65
22303,Alexandria,VA,Fairfax County,34.65
22304,Alexandria,VA,Alexandria city,34.65
22305,Alexandria,VA,Alexandria city,34.65
22306,Alexandria,VA,Fairfax County,34.65
22308,Alexandria,VA,Fairfax County,34.65
22309,Alexandria,VA,Fairfax County,34.65
22310,Alexandria,VA,Fairfax County,34.65
22311,Alexandria,VA,Alexandria city,34.65
22312,Alexandria,VA,Fairfax County,34.65
22314,Alexandria,VA,Alexandria city,34.65
22315,Alexandria,VA,Fairfax County,34.65
22030,Fairfax,VA,Fairfax County,34.65
22033,Fairfax,VA,Fairfax County,34.65
20170,Herndon,VA,Fairfax County,34.65
20175,Leesburg,VA,Loudoun County,34.65
20176,Leesburg,VA,Loudoun County,34.65
20190,Reston,VA,Fairfax County,34.65
20191,Reston,VA,Fairfax County,34.65
