zip,city,state,county,payout
29426,Adams Run,SC,Charleston County,32.5
29002,Ballentine,SC,Richland County,32.5
29016,Blythewood,SC,Richland County,32.5
29414,Charleston,SC,Charleston County,32.5
29203,Columbia,SC,Richland County,32.5
29210,Columbia,SC,Richland County,32.5
29211,Columbia,SC,Richland County,32.5
29228,Columbia,SC,Richland County,32.5
29330,Cowpens,SC,Spartanburg County,32.5
29532,Darlington,SC,Darlington County,32.5
29639,Due West,SC,Abbeville County,32.5
29334,Duncan,SC,Spartanburg County,32.5
29712,Edgemoor,SC,Chester County,32.5
29081,Ehrhardt,SC,Bamberg County,32.5
29607,Greenville,SC,Greenville County,32.5
29651,Greer,SC,Greenville County,32.5
29924,Hampton,SC,Hampton County,32.5
29813,Hilda,SC,Barnwell County,32.5
29453,Jamestown,SC,Berkeley County,32.5
29102,Manning,SC,Clarendon County,32.5
29838,Modoc,SC,Mccormick County,32.5
29574,Mullins,SC,Marion County,32.5
29108,Newberry,SC,Newberry County,32.5
29666,Ninety Six,SC,Greenwood County,32.5
29372,Pacolet,SC,Spartanburg County,32.5
29128,Rembert,SC,Sumter County,32.5
29741,Ruby,SC,Chesterfield County,32.5
29479,Saint Stephen,SC,Berkeley County,32.5
29590,Salters,SC,Williamsburg County,32.5
29939,Scotia,SC,Hampton County,32.5
29682,Six Mile,SC,Pickens County,32.5
29147,State Park,SC,Richland County,32.5
29685,Sunset,SC,Pickens County,32.5
29846,Sycamore,SC,Allendale County,32.5
29166,Ward,SC,Saluda County,32.5
29175,Westville,SC,Kershaw County,32.5
