zip,city,state,county,payout
63730,Advance,MO,Stoddard County,32.5
64401,Agency,MO,Buchanan County,32.5
64722,Amoret,MO,Bates County,32.5
63432,Arbela,MO,Scotland County,32.5
65604,Ash Grove,MO,Greene County,32.5
65010,Ashland,MO,Boone County,32.5
63736,Benton,MO,Scott County,32.5
64424,Bethany,MO,Harrison County,32.5
65322,Blackwater,MO,Cooper County,32.5
63626,Blackwell,MO,Washington County,32.5
65014,Bland,MO,Gasconade County,32.5
64622,Bogard,MO,Carroll County,32.5
65613,Bolivar,MO,Polk County,32.5
63044,Bridgeton,MO,St. Louis County,32.5
65620,Bruner,MO,Christian County,32.5
64428,Burlington Junction,MO,Nodaway County,32.5
64632,Cainsville,MO,Harrison County,32.5
65023,Centertown,MO,Cole County,32.5
65629,Chadwick,MO,Christian County,32.5
63017,Chesterfield,MO,St. Louis County,32.5
65244,Clifton Hill,MO,Randolph County,32.5
64739,Creighton,MO,Cass County,32.5
65634,Cross Timbers,MO,Hickory County,32.5
63339,Curryville,MO,Pike County,32.5
65456,Davisville,MO,Crawford County,32.5
64741,Deerfield,MO,Vernon County,32.5
63536,Downing,MO,Schuyler County,32.5
63745,Dutchtown,MO,Cape Girardeau County,32.5
64442,Eagleville,MO,Harrison County,32.5
63845,East Prairie,MO,Mississippi County,32.5
65026,Eldon,MO,Miller County,32.5
65463,Eldridge,MO,Laclede County,32.5
65468,Eunice,MO,Texas County,32.5
63440,Ewing,MO,Lewis County,32.5
63939,Fairdealing,MO,Ripley County,32.5
64446,Fairfax,MO,Atchison County,32.5
63940,Fisk,MO,Butler County,32.5
65473,Fort Leonard Wood,MO,Pulaski County,32.5
65034,Fortuna,MO,Morgan County,32.5
63941,Fremont,MO,Carter County,32.5
63036,French Village,MO,St. Francois County,32.5
63748,Frohna,MO,Perry County,32.5
65656,Galena,MO,Stone County,32.5
64453,Gentry,MO,Gentry County,32.5
63850,Grayridge,MO,Stoddard County,32.5
63545,Green City,MO,Sullivan County,32.5
64457,Guilford,MO,Nodaway County,32.5
63945,Harviell,MO,Butler County,32.5
65668,Hermitage,MO,Hickory County,32.5
64461,Hopkins,MO,Nodaway County,32.5
65484,Huggins,MO,Texas County,32.5
65501,Jadwin,MO,Dent County,32.5
65103,Jefferson City,MO,Cole County,32.5
63445,Kahoka,MO,Clark County,32.5
64111,Kansas City,MO,Jackson County,32.5
64147,Kansas City,MO,Jackson County,32.5
64171,Kansas City,MO,Jackson County,32.5
64196,Kansas City,MO,Jackson County,32.5
64848,La Russell,MO,Lawrence County,32.5
63367,Lake Saint Louis,MO,St. Charles County,32.5
64063,Lees Summit,MO,Jackson County,32.5
64081,Lees Summit,MO,Jackson County,32.5
65542,Licking,MO,Texas County,32.5
63551,Livonia,MO,Putnam County,32.5
64655,Lucerne,MO,Putnam County,32.5
65702,Macomb,MO,Wright County,32.5
64467,Martinsville,MO,Harrison County,32.5
64660,Mendon,MO,Chariton County,32.5
64766,Milford,MO,Barton County,32.5
63766,Millersville,MO,Cape Girardeau County,32.5
65059,Mokane,MO,Callaway County,32.5
65061,Morrison,MO,Gasconade County,32.5
64470,Mound City,MO,Holt County,32.5
63557,New Boston,MO,Linn County,32.5
63770,Old Appleton,MO,Cape Girardeau County,32.5
64474,Osborn,MO,Dekalb County,32.5
64776,Osceola,MO,St. Clair County,32.5
65275,Paris,MO,Monroe County,32.5
63662,Patton,MO,Bollinger County,32.5
64670,Pattonsburg,MO,Daviess County,32.5
64078,Peculiar,MO,Cass County,32.5
64672,Powersville,MO,Putnam County,32.5
63071,Richwoods,MO,Washington County,32.5
65742,Rogersville,MO,Webster County,32.5
63962,Rombauer,MO,Butler County,32.5
63304,Saint Charles,MO,St. Charles County,32.5
64504,Saint Joseph,MO,Buchanan County,32.5
63108,Saint Louis,MO,St. Louis city,32.5
63120,Saint Louis,MO,St. Louis city,32.5
63136,Saint Louis,MO,St. Louis County,32.5
63138,Saint Louis,MO,St. Louis County,32.5
63178,Saint Louis,MO,St. Louis city,32.5
65282,Santa Fe,MO,Monroe County,32.5
65746,Seymour,MO,Webster County,32.5
63801,Sikeston,MO,Scott County,32.5
63964,Silva,MO,Wayne County,32.5
65283,Stoutsville,MO,Monroe County,32.5
65571,Summersville,MO,Texas County,32.5
64683,Trenton,MO,Grundy County,32.5
64492,Trimble,MO,Clinton County,32.5
63783,Uniontown,MO,Perry County,32.5
65582,Vienna,MO,Maries County,32.5
64790,Walker,MO,Vernon County,32.5
65774,Weaubleau,MO,Hickory County,32.5
64097,Wellington,MO,Lafayette County,32.5
65586,Wesco,MO,Crawford County,32.5
64688,Wheeling,MO,Livingston County,32.5
63038,Wildwood,MO,St. Louis County,32.5
