zip,city,state,county,payout
80001,Arvada,CO,Jefferson County,32.5
80310,Boulder,CO,Boulder County,32.5
81019,Colorado City,CO,Pueblo County,32.5
80914,Colorado Springs,CO,El Paso County,32.5
80920,Colorado Springs,CO,El Paso County,32.5
80922,Colorado Springs,CO,El Paso County,32.5
80937,Colorado Springs,CO,El Paso County,32.5
80960,Colorado Springs,CO,El Paso County,32.5
81414,Cory,CO,Delta County,32.5
80216,Denver,CO,Denver County,32.5
80231,Denver,CO,Denver County,32.5
80243,Denver,CO,Denver County,32.5
80244,Denver,CO,Denver County,32.5
80247,Denver,CO,Arapahoe County,32.5
80252,Denver,CO,Denver County,32.5
80294,Denver,CO,Denver County,32.5
80435,Dillon,CO,Summit County,32.5
81631,Eagle,CO,Eagle County,32.5
80106,Elbert,CO,El Paso County,32.5
80525,Fort Collins,CO,Larimer County,32.5
80444,Georgetown,CO,Clear Creek County,32.5
81503,Grand Junction,CO,Mesa County,32.5
81637,Gypsum,CO,Eagle County,32.5
80533,Hygiene,CO,Boulder County,32.5
80026,Lafayette,CO,Boulder County,32.5
80828,Limon,CO,Lincoln County,32.5
80740,Lindon,CO,Washington County,32.5
80160,Littleton,CO,Arapahoe County,32.5
80027,Louisville,CO,Boulder County,32.5
81645,Minturn,CO,Eagle County,32.5
81426,Ophir,CO,San Miguel County,32.5
